X2D1	X2D2	X2D3	X2D4	X3Y1	X3Y2	X3Y3	X3Y4	X3O1	X3O2	X3O3	X3O4	X2A	X2B	X2C	X3A	X3B	X3C	Gene	Peptide_Number	X2D_vs_2Dxeno_FC	X2D_vs_2Dxeno_pval	X2D_vs_2Dxeno_qval	X3D_vs_3Dxeno_FC	X3D_vs_3Dxeno_pval	X3D_vs_3Dxeno_qval
20.2121082697244	20.0154322316415	20.1923582060898	19.9770873889514	20.063687769214	19.7590381733812	19.890956026562	19.9106223580592	19.9659116093081	19.9366716227607	19.920722198989	19.9817867860371	20.1542039977359	20.1681860872246	19.9401474801385	20.0822609832602	20.1137513796662	20.1120802549395	AAAS_HUMAN	9	-0.00468703803045575	0.957984254335141	0.973511403690967	-0.151424485014902	0.0879511704210726	0.17425668484674
19.7847518677085	19.4388863318377	19.0918261797595	19.5610263050833	20.0889739610114	20.2308879823925	19.3356384411296	19.5888556651595	19.8451586103994	19.7628230559954	20.0346325593384	20.0296221297732	19.6838631932107	19.8772926144474	20.2129974167344	19.8853706667287	19.9610481729669	19.8624106311914	AACS_HUMAN	4	-0.432478505527093	0.0356386263060886	0.0822761891223412	0.0151159319142587	0.934771082501475	0.957683123655027
19.2125051729057	19.3315807624299	19.3217768407532	19.4814424607635	19.2935278753708	19.3711921798654	19.5344921384752	19.2158424193139	19.1645155461124	19.0804800249552	18.8535122158263	18.8662739964934	19.2297595075363	19.0827481243678	19.0156129507916	19.0031850713374	18.9742365754	19.1064222338071	AAGAB_HUMAN	9	0.227452781647833	0.0368102599929252	0.0842058995997544	-0.0367525143347018	0.71782519021549	0.807157747211378
19.2424497001127	19.4153052370892	19.3124486282531	19.4381642518442	19.3306659018304	19.490963141258	19.4678179435459	19.4079313880125	19.2506198197062	19.1084051294221	19.2067990996366	19.2055143970244	18.3979607836973	18.4480879953372	18.8593067582238	18.5549730553585	18.6321806179373	18.7204767757495	AAK1_HUMAN	15	0.834460603547481	2.85970147006118e-07	1.2757225701085e-05	0.556957795098901	1.64159977175664e-05	0.000316689186737667
20.3575622203489	20.1580461247174	19.89250630753	20.2025637736019	20.7066088600367	20.6958520023373	20.2854226424385	20.4411894910449	20.4250237279541	20.4837276283983	20.3553942256127	20.5484357661831	20.4510503979272	19.9925798505896	19.5653026789383	20.1918156570998	19.8798985818709	20.1693213744845	AAMDC_HUMAN	6	0.168608199382244	0.341905935910836	0.467752450363231	0.372800132551989	0.0243798377109176	0.0656698285429748
20.2005190212828	20.5916335466872	20.4432942540389	20.508333977518	20.4907306262131	20.3847689532133	20.7213942903994	20.3075357420141	20.2021769254341	20.2936010149757	19.5710460587305	19.3874729677102	19.8580473820681	20.2496423120969	20.0873894182376	20.1754952721406	20.3428810103222	20.2908042268513	AAMP_HUMAN	7	0.37091882908087	0.0536059301882429	0.111982576653651	-0.397064179327327	0.0473646714370103	0.108297821207943
19.7969077711717	19.9958294213755	20.026252514963	19.9068765819721	19.8423696015411	19.9139985908084	20.172799841014	19.6914499153469	19.5839045211349	19.6082125733419	19.4338088562079	19.4265917351017	19.5328653710788	19.8652010661501	19.6324069818195	19.5680986813432	19.5839904066327	19.5651107966706	AAR2_HUMAN	4	0.268500413740544	0.0192971224397491	0.0507916524366904	-0.0592705401022408	0.564143657391297	0.683310759397441
21.317865779893	21.125860593644	20.8721771268998	21.2152492179229	21.1500261960328	21.0432544565789	20.8738284452845	21.3955027216954	21.5872235242771	21.5816802356561	21.5678599759484	21.617591140773	21.2035618933557	20.9147458974762	20.8900934326309	20.9814700347015	20.84702598717	20.8341888518007	AARS1_HUMAN	28	0.16877285304406	0.169795127459126	0.2744756972503	0.701027094606274	1.51616644969465e-05	0.000296087423475206
20.0077862106339	19.8561637234154	20.2779991188084	20.0239537785517	20.1519557963302	20.1997401066657	20.1914366267217	20.3152987074445	20.3670369948589	20.4154141344317	20.4203591360869	20.3914346804558	19.9783297863197	20.2366350393745	19.8045167599679	19.9411439693395	20.0816449954547	20.0144058200142	AARS2_HUMAN	10	0.0330322515408804	0.769410868699838	0.839533498821784	0.385458933561181	0.000592967416645724	0.00410085593659924
19.6831038775493	19.6729141894274	19.8913660908186	19.8812321408813	19.6134640155343	19.4132541967228	19.4716705745899	19.7606326562119	19.8171299475106	19.4544981668126	19.4434195097645	19.3063396473583	20.3780702585923	20.3523607415446	20.6335347603289	20.2999372457514	20.7206799400915	20.4868730843014	AARSD1_HUMAN	2	-0.67250117881942	7.74591839705399e-05	0.000689893479662846	-1.02213446829222	7.61850906297662e-07	3.86193571117911e-05
21.1900846828969	21.2005539916864	21.1280171890139	21.003172428752	21.3405042237507	21.125663634415	21.0288111590667	20.9195340418178	21.2589696883609	20.9802806584936	20.4331107922223	20.5574443443434	20.8094940346287	20.6926958743019	20.5249616073027	20.956667302106	20.6254701762534	20.6423248164333	AASDHPPT_HUMAN	7	0.454739901009512	0.00909280449479103	0.0276674415183137	0.0423751250804596	0.794156777660222	0.865366791661637
20.2153851830158	20.2584501229647	20.3874858122034	20.3784335559509	19.5397887790215	20.1113465786946	18.7731860513737	20.1131086511605	20.0089101807595	19.9404878461474	19.9600252249408	20.0355561351083	19.8428051848229	20.0841265816142	19.9310164888795	19.9424477806152	20.0096289274049	19.967415559208	AATF_HUMAN	7	0.361361419495186	0.0122613556522671	0.0352048468544182	0.0130807576629707	0.91767810670138	0.946646798058988
